Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
Lower Lawrenceville,48,457.0,100.657836257,16.0,19.7230829233,0.0,14.1421356237,0.0,14.1421356237,21.0,34.4818792991,8.0,17.2046505341,28.0,26.9258240357,8.0,14.8660687473,17.0,17.8044938148,17.0,20.0,32.0,26.1725046566,18.0,22.360679775,33.0,27.8567765544,8.0,15.6204993518,70.0,50.4479930225,16.0,19.7230829233,64.0,53.2353266168,29.0,27.2029410175,40.0,27.8567765544,23.0,23.2594066992,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Manchester,49,509.0,116.017240098,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,8.0,15.6204993518,9.0,17.2046505341,0.0,14.1421356237,12.0,19.7230829233,15.0,16.4012194669,37.0,32.5576411922,53.0,36.7967389859,83.0,57.8013840665,38.0,29.1547594742,47.0,44.2718872424,49.0,32.9848450049,53.0,38.5875627631,26.0,24.1660919472,1.0,16.4012194669,19.0,20.6155281281,25.0,40.2616442784,21.0,24.1660919472,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Marshall-Shadeland,50,966.0,145.488831186,11.0,22.825424421,14.0,23.452078799,46.0,37.2827037647,54.0,34.8425027804,8.0,23.3238075794,39.0,36.4691650576,57.0,38.9358446679,137.0,69.9213844257,81.0,45.8911756223,153.0,72.3532998557,128.0,60.9672042987,84.0,48.1456124689,41.0,46.9680742632,35.0,30.4138126515,56.0,50.6063237155,5.0,21.5406592286,6.0,22.825424421,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,5.0,21.5406592286,6.0,22.825424421,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Middle Hill,51,266.0,71.6240183179,0.0,17.3205080757,5.0,15.779733838,5.0,16.2480768093,4.0,15.3622914957,0.0,17.3205080757,28.0,24.7790233867,6.0,16.7630546143,11.0,14.0712472794,18.0,27.0924343683,71.0,41.0609303353,0.0,17.3205080757,15.0,16.7630546143,5.0,16.2480768092,54.0,49.8297100132,5.0,16.2480768093,26.0,26.5706605112,0.0,17.3205080757,0.0,17.3205080757,2.0,15.0,11.0,17.9164728672,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Morningside,52,954.0,121.053707089,34.0,30.6920185065,22.0,30.4138126515,0.0,20.0,0.0,20.0,0.0,20.0,6.0,19.519221296,35.0,47.2863616702,8.0,22.2710574513,22.0,23.5796522451,43.0,43.7149859888,50.0,32.2180073872,151.0,69.9428338002,41.0,32.3264597505,98.0,44.4072066224,190.0,61.6441400297,115.0,61.0573500899,24.0,24.2074368739,100.0,48.9591666596,0.0,20.0,0.0,20.0,0.0,20.0,15.0,28.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Mount Oliver Borough,53,593.0,125.307621476,4.0,19.0787840283,0.0,20.0,0.0,20.0,0.0,20.0,35.0,32.3264597505,50.0,36.0832371054,57.0,49.5681349256,160.0,66.9776081986,100.0,52.4499761678,104.0,73.74957627,45.0,34.4238289562,9.0,22.9128784748,12.0,24.9799919936,0.0,20.0,0.0,20.0,9.0,22.2710574513,0.0,20.0,8.0,21.0713075057,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Mount Washington,54,1828.0,177.533095507,27.0,31.1287648326,9.0,30.7245829915,9.0,32.0156211871,26.0,37.7491721764,13.0,31.1287648325,63.0,42.3083916026,45.0,39.2555728528,130.0,60.7289058028,256.0,93.6108968016,161.0,69.8426803609,184.0,68.4908753047,142.0,62.7853486093,83.0,43.5660418216,118.0,52.4213696883,98.0,44.3395985548,114.0,57.148928249,84.0,47.5499737118,112.0,69.1230786351,14.0,31.9374388454,47.0,36.1524549651,20.0,33.9116499156,30.0,33.8526217596,20.0,34.5398320783,0.0,29.9999999999,0.0,29.9999999999,23.0,31.8276609256
Mt. Oliver,55,164,43,0,10,0,10,0,10,0,10,15,18,8,8,13,20,40,31,16,12,21,18,19,12,0,10,9,9,9,9,0,10,0,10,0,10,5,7,5,6,4,7,0,10,0,10,0,10,0,10,0,10,0,10
New Homestead,56,377,31,2,5,17,18,0,10,0,10,0,10,0,10,0,10,0,10,17,16,9,10,32,23,32,23,18,14,103,42,62,37,11,14,4,6,43,24,10,12,14,16,3,5,0,10,0,10,0,10,0,10,0,10
North Oakland,57,873.0,121.49897119,17.0,29.3428015023,0.0,24.4948974278,5.0,24.9198715887,0.0,24.4948974278,9.0,25.8650343127,14.0,34.292856399,0.0,24.4948974278,0.0,24.4948974278,26.0,47.5815090134,69.0,48.2700735445,18.0,27.4954541697,55.0,42.3792402008,36.0,37.4165738678,124.0,55.856960175,47.0,35.6791255499,94.0,49.1426495012,53.0,39.0512483795,79.0,42.4852915725,47.0,41.4608248833,23.0,33.1209903234,100.0,73.7156699759,41.0,39.8622628559,16.0,30.199337741,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
North Shore,58,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Northview Heights,59,12,12,0,10,0,10,0,10,0,10,0,10,6,9,0,10,0,10,0,10,6,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Oakwood,60,236,49,8,11,0,10,0,10,0,10,5,8,0,10,0,10,0,10,20,15,3,5,21,17,36,21,32,22,42,23,24,29,15,15,8,9,6,9,16,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Overbrook,61,1283.0,100.029995501,3.0,20.8806130178,0.0,22.360679775,0.0,22.360679775,4.0,20.8806130178,13.0,22.2036033112,29.0,24.7790233867,19.0,21.4941852603,78.0,39.2300904918,113.0,37.1214223865,250.0,66.7233092705,169.0,46.4327470649,177.0,51.7880295049,134.0,44.5084261685,163.0,49.5176736126,73.0,43.4281015012,17.0,19.8494332414,7.0,22.360679775,15.0,25.5538646784,6.0,22.360679775,0.0,22.360679775,0.0,22.360679775,6.0,21.9317121994,0.0,22.360679775,7.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Perry North,62,1069.0,107.740428809,18.0,28.0891438104,5.0,23.4307490277,19.0,35.8329457344,7.0,24.4948974278,13.0,23.7065391823,14.0,24.1867732449,11.0,23.3452350599,55.0,36.6742416418,57.0,30.0665927567,116.0,46.2385120868,159.0,54.4977063737,82.0,37.5233260786,76.0,38.8458491991,151.0,48.352869615,102.0,46.1410879802,62.0,41.5331193147,40.0,40.2740611311,54.0,39.4588393139,8.0,24.4948974278,15.0,26.3818119166,0.0,24.4948974278,0.0,24.4948974278,5.0,23.4307490277,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Perry South,63,800.0,126.601737745,19.0,24.2074368738,33.0,29.8161030318,21.0,30.7408522979,8.0,26.3818119165,53.0,36.5650105976,54.0,44.1588043316,14.0,24.1453929353,67.0,41.2189276911,100.0,63.2929695938,120.0,55.7314991723,109.0,56.7009700093,56.0,34.5543050863,64.0,40.6448028658,16.0,25.7875939164,4.0,24.1039415864,26.0,27.8208554864,0.0,24.4948974278,18.0,26.8514431643,0.0,24.4948974278,18.0,35.0570962859,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Point Breeze,64,1623.0,107.144761888,14.0,27.8208554865,0.0,26.4575131106,0.0,26.4575131106,15.0,28.9482296522,0.0,26.4575131106,5.0,25.7681974534,0.0,26.4575131106,15.0,29.2061637331,0.0,26.4575131106,15.0,29.2574776766,16.0,29.8161030318,4.0,25.2190404259,17.0,29.8998327754,52.0,35.397740041,35.0,29.2403830345,73.0,40.7308237088,80.0,39.7743636028,217.0,67.0969447889,250.0,65.4980915752,318.0,74.7462373636,246.0,64.0234332101,168.0,48.754486973,71.0,36.1247837364,8.0,24.1867732449,4.0,25.0,0.0,26.4575131106
Point Breeze North,65,336.0,89.0898422942,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,6.0,16.7630546143,0.0,17.3205080757,11.0,22.8910462845,0.0,17.3205080757,0.0,17.3205080757,7.0,18.547236991,14.0,26.1533936613,0.0,17.3205080757,28.0,29.0172362571,45.0,32.0156211872,20.0,26.1533936613,34.0,26.645825189,49.0,31.3687742827,50.0,35.902646142,59.0,56.2138772902,0.0,17.3205080757,13.0,23.6854385646,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Polish Hill,66,334.0,54.5618914628,0.0,14.1421356237,0.0,14.1421356237,5.0,12.2065556157,17.0,21.4709105536,9.0,14.8660687473,12.0,12.8062484749,10.0,14.8660687473,40.0,21.5870331449,20.0,15.0,32.0,19.8494332413,30.0,17.4928556845,4.0,11.6619037897,20.0,15.0,26.0,17.0293863659,27.0,19.2353840617,23.0,15.8113883008,39.0,31.9061122671,18.0,14.1421356237,2.0,10.7703296143,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Regent Square,67,343,41,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,6,9,0,10,0,10,10,11,13,14,24,23,6,9,86,34,67,28,72,27,35,23,13,15,0,10,0,10,6,9,0,10
Ridgemont,68,136,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,5,10,15,26,21,29,25,19,18,17,30,24,17,0,10,0,10,0,10,0,10,9,14,0,10,0,10,0,10,0,10,0,10,0,10
Shadyside,69,1936.0,210.366347119,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,13.0,41.2310562561,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,11.0,40.7553677446,0.0,37.4165738677,15.0,38.4317577012,11.0,40.2988833592,19.0,40.8411557133,214.0,92.8493403315,86.0,57.9050947672,58.0,47.1699056603,95.0,50.5371150739,244.0,95.5562661472,268.0,95.2102935612,332.0,119.86659251,163.0,70.6540869306,243.0,85.4400374531,111.0,64.2105910266,36.0,47.2969343616,17.0,41.9761837235,0.0,37.4165738677
Sheraden,70,1354.0,152.823427524,6.0,24.4948974278,5.0,23.748684174,51.0,41.2310562562,60.0,37.5233260785,88.0,49.7393204617,131.0,57.9482527778,71.0,58.1893461039,148.0,64.6142399166,218.0,89.0280854563,103.0,56.2672195866,132.0,82.5953993876,57.0,65.4675492133,74.0,45.7930125675,68.0,47.8434948556,74.0,50.0199960016,5.0,25.7099202644,8.0,25.3771550809,39.0,51.1468474102,0.0,24.4948974278,6.0,24.1039415864,10.0,26.9258240357,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
South Oakland,71,418.0,93.2630687894,0.0,20.0,0.0,20.0,21.0,29.4278779391,0.0,20.0,15.0,22.9128784748,22.0,28.7749891399,0.0,20.0,7.0,20.5182845287,40.0,46.4758001545,27.0,29.2061637331,44.0,38.3144881213,73.0,42.7784992723,0.0,20.0,70.0,52.3736575007,63.0,46.1844129549,20.0,25.1594912508,7.0,20.5182845286,9.0,22.2710574513,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
South Shore,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,1385.0,198.736005797,8.0,25.8650343128,11.0,28.7054001889,0.0,24.4948974278,0.0,24.4948974278,10.0,27.4954541696,0.0,24.4948974278,13.0,30.0,45.0,62.7136348811,0.0,24.4948974278,10.0,26.9258240357,38.0,40.2119385259,79.0,52.8488410469,57.0,46.0543157587,88.0,71.8679344354,103.0,56.8594759033,98.0,55.0635995917,76.0,49.537864306,311.0,117.132403715,187.0,99.6744701516,164.0,67.3424086293,64.0,44.8887513749,10.0,27.4954541696,13.0,30.0,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
South Side Slopes,74,1053.0,134.346566759,31.0,33.8969025134,31.0,43.7835585579,23.0,28.2488937836,28.0,41.1460812228,34.0,33.9116499156,59.0,38.6522961801,30.0,29.2574776766,95.0,53.944415837,82.0,43.6233882224,44.0,31.9217793991,80.0,41.194659848,82.0,51.0587896449,8.0,28.2134719593,106.0,56.6656862661,64.0,46.6583325891,76.0,42.1426150114,17.0,28.9827534923,60.0,54.7813836992,16.0,28.5131548588,74.0,49.3558507169,13.0,26.1725046566,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106
Spring Garden,75,272.0,58.0,4.0,11.6619037897,12.0,16.4012194669,24.0,22.1359436212,43.0,30.4138126515,18.0,13.8924439894,14.0,13.416407865,5.0,14.1421356237,23.0,16.2788205961,18.0,26.9258240357,22.0,20.591260282,4.0,12.2065556157,25.0,22.1359436212,0.0,14.1421356237,35.0,20.8086520467,6.0,14.1421356237,0.0,14.1421356237,7.0,15.6204993518,12.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Spring Hill-City View,76,639.0,104.752088285,15.0,20.4205778567,25.0,27.0,26.0,43.3704968844,8.0,18.547236991,8.0,19.8997487421,0.0,17.3205080757,34.0,27.8028775489,62.0,51.5460958755,79.0,54.7722557505,90.0,38.8587184555,86.0,39.6736688497,12.0,19.2093727123,63.0,45.7493169348,71.0,60.6465168002,27.0,25.4558441227,16.0,21.1187120819,0.0,17.3205080757,17.0,24.5967477525,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Squirrel Hill North,77,1967.0,153.570830563,11.0,34.0,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,8.0,32.6955654485,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,22.0,44.5982062419,9.0,33.1058907145,0.0,31.6227766016,9.0,33.1058907145,23.0,34.3656805549,36.0,35.2420203735,48.0,40.1746188532,77.0,60.6300255649,216.0,66.6858305789,188.0,69.4478221401,279.0,89.9499861034,307.0,78.4729252672,383.0,92.8385695709,206.0,61.3106842239,74.0,46.6154480832,21.0,33.8526217596,50.0,40.2864741571
Squirrel Hill South,78,3152.0,235.881326096,36.0,47.7912125813,0.0,36.0555127546,28.0,46.303347611,6.0,36.0555127546,13.0,36.6742416418,0.0,36.0555127546,16.0,43.9203825121,0.0,36.0555127546,36.0,52.9150262211,0.0,36.0555127546,20.0,46.4865571966,32.0,43.9772668547,28.0,47.2228758125,200.0,94.4298681561,119.0,73.3689307541,217.0,89.7663634106,198.0,76.8960337079,460.0,142.239235093,343.0,113.88590782,482.0,123.689126442,328.0,104.928547117,382.0,115.451288429,149.0,100.493780902,43.0,46.2276973254,0.0,36.0555127546,16.0,42.7200187267
St. Clair,79,48,29,0,10,4,6,0,10,0,10,3,5,0,10,24,27,0,10,4,7,13,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Stanton Heights,80,1697.0,134.361452805,11.0,18.574175621,19.0,28.0,10.0,24.269322199,0.0,20.0,22.0,28.5832118559,0.0,20.0,0.0,20.0,45.0,33.3766385366,80.0,55.3263047745,112.0,53.6097006147,86.0,43.7492857084,132.0,53.7959106253,193.0,73.2598116296,439.0,92.967736339,181.0,65.7951365984,246.0,75.4585979196,41.0,33.1662479036,55.0,37.5366487582,10.0,22.9128784748,0.0,20.0,0.0,20.0,15.0,21.4476105895,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Strip District,81,72,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,20,34,0,10,0,10,8,11,0,10,0,10,15,16,0,10,8,12,7,10,7,11,7,11,0,10,0,10,0,10
Summer Hill,82,403,41,5,7,0,10,0,10,4,7,0,10,0,10,0,10,4,6,30,32,28,19,52,28,84,35,46,28,76,34,24,16,22,19,16,23,6,10,0,10,6,10,0,10,0,10,0,10,0,10,0,10,0,10
Swisshelm Park,83,514,55,9,11,0,10,0,10,0,10,0,10,16,14,0,10,10,10,0,10,20,15,38,25,13,12,16,11,137,52,38,27,74,29,56,33,37,23,10,11,28,17,12,13,0,10,0,10,0,10,0,10,0,10
Terrace Village,84,56.0,28.3725219182,3.0,15.3622914957,0.0,17.3205080757,0.0,17.3205080757,6.0,17.3205080757,4.0,15.779733838,0.0,17.3205080757,0.0,17.3205080757,14.0,26.1533936613,0.0,17.3205080757,0.0,17.3205080757,10.0,21.3541565041,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,4.0,15.779733838,6.0,17.9164728672,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,9.0,18.547236991,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Troy Hill,85,618.0,104.690018626,20.0,29.7321374946,8.0,15.6204993518,0.0,14.1421356237,14.0,18.8679622641,24.0,22.2036033112,62.0,62.6258732474,25.0,24.1660919472,89.0,57.3846669416,80.0,38.4187454246,42.0,40.2616442784,49.0,31.1448230048,59.0,38.6005181312,24.0,25.079872408,28.0,25.495097568,0.0,14.1421356237,0.0,14.1421356237,15.0,21.4709105536,7.0,17.2046505341,0.0,14.1421356237,16.0,19.7230829233,15.0,20.591260282,41.0,25.495097568,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Upper Hill,86,513.0,143.352711868,0.0,17.3205080757,22.0,24.9198715888,23.0,30.4795013083,42.0,58.7281874401,24.0,34.0734500748,11.0,27.0,8.0,19.2093727123,9.0,19.2093727123,15.0,17.4928556845,91.0,83.5763124336,59.0,64.8536814684,15.0,23.6854385647,14.0,24.4948974278,16.0,21.5638586528,13.0,26.1533936613,6.0,17.3205080757,9.0,15.779733838,6.0,17.3205080757,36.0,54.8543526076,60.0,64.2884126417,9.0,19.2093727123,25.0,32.6343377442,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Upper Lawrenceville,87,594.0,115.952576513,0.0,17.3205080757,0.0,17.3205080757,17.0,27.8567765544,13.0,20.6155281281,5.0,16.7630546143,23.0,25.632011236,55.0,42.4264068712,42.0,30.2985148151,91.0,49.3761075825,57.0,34.9428104193,47.0,44.3170396123,99.0,61.26173357,7.0,17.9164728671,4.0,15.779733838,49.0,37.9868398265,25.0,24.3515913238,18.0,19.416487839,20.0,34.0734500748,8.0,18.547236991,14.0,27.8567765544,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
West End,88,35,23,0,10,0,10,0,10,12,16,0,10,0,10,0,10,0,10,7,12,0,10,4,8,0,10,0,10,0,10,0,10,9,16,0,10,0,10,0,10,3,6,0,10,0,10,0,10,0,10,0,10,0,10
West Oakland,89,204.0,51.8555686499,0.0,14.1421356237,0.0,14.1421356237,10.0,16.4012194669,0.0,14.1421356237,6.0,12.8062484749,23.0,19.6977156036,0.0,14.1421356237,13.0,13.6014705087,52.0,32.4499614792,11.0,12.5299640861,37.0,31.4006369362,0.0,14.1421356237,10.0,13.416407865,2.0,11.1803398875,0.0,14.1421356237,20.0,19.8494332413,0.0,14.1421356237,4.0,12.8062484749,8.0,15.6204993518,0.0,14.1421356237,8.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Westwood,90,973.0,102.552425617,29.0,25.495097568,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,25.0,25.2388589282,65.0,49.7694685525,70.0,35.6089876295,59.0,32.5729949498,104.0,50.0099990002,124.0,54.3783044973,191.0,65.8634952003,108.0,53.712196008,42.0,30.0,0.0,14.1421356237,130.0,53.600373133,17.0,16.4012194669,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Windgap,91,537.0,87.4585616163,25.0,21.4709105536,36.0,39.2937654088,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,18.0,19.8494332413,8.0,16.4012194669,46.0,40.2616442784,47.0,30.0166620396,54.0,34.7131099154,49.0,34.1320963318,40.0,27.4590604355,33.0,22.6715680975,129.0,61.5873363607,17.0,23.2594066992,30.0,23.4307490277,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
